29617270,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10034,5035 BROADWAY,BROADWAY,WEST 214 STREET,WEST 215 STREET,,,NEW YORK,NA,Precinct,12 MANHATTAN,MANHATTAN,1007386,MANHATTAN
29615467,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10034,5035 BROADWAY,BROADWAY,WEST 214 STREET,WEST 215 STREET,,,NEW YORK,NA,Precinct,12 MANHATTAN,MANHATTAN,1007386,MANHATTAN
29615102,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11368,37-29 103 STREET,103 STREET,37 AVENUE,39 AVENUE,,,CORONA,NA,Precinct,03 QUEENS,QUEENS,1021872,QUEENS
29614749,DSNY,BCC - Staten Island,Missed Collection (All Materials),2 Bulk-Missed Collection,Sidewalk,10306,108 BROOK AVENUE,BROOK AVENUE,BEND,BEND,,,STATEN ISLAND,NA,DSNY Garage,03 STATEN ISLAND,STATEN ISLAND,950545,STATEN ISLAND
29614482,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11355,,,,,HOLLYWOOD AVENUE,156 STREET,FLUSHING,NA,Precinct,07 QUEENS,QUEENS,1036797,QUEENS
29617047,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10032,286 FORT WASHINGTON AVENUE,FORT WASHINGTON AVENUE,WEST 172 STREET,WEST 173 STREET,,,NEW YORK,NA,N/A,12 MANHATTAN,MANHATTAN,1000645,MANHATTAN
29618286,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11204,6310 21 AVENUE,21 AVENUE,63 STREET,64 STREET,,,BROOKLYN,NA,Precinct,11 BROOKLYN,BROOKLYN,989082,BROOKLYN
29618159,DSNY,BCC - Brooklyn South,Sanitation Condition,12 Dead Animals,Sidewalk,11204,1662 70 STREET,70 STREET,16 AVENUE,17 AVENUE,,,BROOKLYN,NA,DSNY Garage,11 BROOKLYN,BROOKLYN,985243,BROOKLYN
29618233,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11229,1943 EAST 15 STREET,EAST 15 STREET,AVENUE S,AVENUE T,,,BROOKLYN,NA,Precinct,15 BROOKLYN,BROOKLYN,996172,BROOKLYN
29614325,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,11213,1768 ATLANTIC AVENUE,ATLANTIC AVENUE,SCHENECTADY AVENUE,UTICA AVENUE,,,BROOKLYN,NA,N/A,08 BROOKLYN,BROOKLYN,1003179,BROOKLYN
29615756,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10032,509 WEST 167 STREET,WEST 167 STREET,AMSTERDAM AVENUE,AUDUBON AVENUE,,,NEW YORK,NA,Precinct,12 MANHATTAN,MANHATTAN,1001464,MANHATTAN
29615635,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10016,97 LEXINGTON AVENUE,LEXINGTON AVENUE,LEXINGTON AVENUE,BROADWAY ALLEY,,,NEW YORK,NA,Precinct,06 MANHATTAN,MANHATTAN,989001,MANHATTAN
29615639,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11369,31-47 102 STREET,102 STREET,31 AVENUE,32 AVENUE,,,EAST ELMHURST,NA,Precinct,03 QUEENS,QUEENS,1021078,QUEENS
